record_type,spot_price,timestamp,instance_type,product_description,availability_zone
SPOTINSTANCEPRICE,0.7166,2023-01-01T00:04:28-0800,r5a.8xlarge,Red Hat Enterprise Linux,ap-northeast-1a
SPOTINSTANCEPRICE,0.7116,2023-01-01T00:04:28-0800,r5a.8xlarge,SUSE Linux,ap-northeast-1a
SPOTINSTANCEPRICE,0.5866,2023-01-01T00:04:28-0800,r5a.8xlarge,Linux/UNIX,ap-northeast-1a
SPOTINSTANCEPRICE,0.6623,2023-01-01T00:04:22-0800,c5a.8xlarge,Red Hat Enterprise Linux,ap-northeast-1a
SPOTINSTANCEPRICE,0.6573,2023-01-01T00:04:22-0800,c5a.8xlarge,SUSE Linux,ap-northeast-1a
SPOTINSTANCEPRICE,0.5323,2023-01-01T00:04:22-0800,c5a.8xlarge,Linux/UNIX,ap-northeast-1a
SPOTINSTANCEPRICE,3.8184,2023-01-01T00:04:21-0800,r5.24xlarge,Red Hat Enterprise Linux,ap-northeast-1d
SPOTINSTANCEPRICE,3.8134,2023-01-01T00:04:21-0800,r5.24xlarge,SUSE Linux,ap-northeast-1d
SPOTINSTANCEPRICE,3.6884,2023-01-01T00:04:21-0800,r5.24xlarge,Linux/UNIX,ap-northeast-1d
SPOTINSTANCEPRICE,1.8958,2023-01-01T00:04:20-0800,m6i.24xlarge,Red Hat Enterprise Linux,ap-northeast-1d
SPOTINSTANCEPRICE,1.8908,2023-01-01T00:04:20-0800,m6i.24xlarge,SUSE Linux,ap-northeast-1d
SPOTINSTANCEPRICE,1.7658,2023-01-01T00:04:20-0800,m6i.24xlarge,Linux/UNIX,ap-northeast-1d
SPOTINSTANCEPRICE,0.3372,2023-01-01T00:04:20-0800,g4ad.xlarge,Windows,ap-northeast-1a
SPOTINSTANCEPRICE,0.3372,2023-01-01T00:04:20-0800,g4ad.xlarge,Windows,ap-northeast-1d
SPOTINSTANCEPRICE,0.6948,2023-01-01T00:04:20-0800,g4ad.xlarge,Windows,ap-northeast-1c
SPOTINSTANCEPRICE,0.1354,2023-01-01T00:04:16-0800,r4.large,Red Hat Enterprise Linux,ap-northeast-1d
SPOTINSTANCEPRICE,0.1754,2023-01-01T00:04:16-0800,r4.large,SUSE Linux,ap-northeast-1d
SPOTINSTANCEPRICE,0.0754,2023-01-01T00:04:16-0800,r4.large,Linux/UNIX,ap-northeast-1d
SPOTINSTANCEPRICE,0.3214,2023-01-01T00:04:08-0800,m5ad.2xlarge,Red Hat Enterprise Linux,ap-northeast-1d
SPOTINSTANCEPRICE,0.3164,2023-01-01T00:04:08-0800,m5ad.2xlarge,SUSE Linux,ap-northeast-1d
SPOTINSTANCEPRICE,0.1914,2023-01-01T00:04:08-0800,m5ad.2xlarge,Linux/UNIX,ap-northeast-1d
SPOTINSTANCEPRICE,0.4258,2023-01-01T00:04:08-0800,m6g.4xlarge,Red Hat Enterprise Linux,ap-northeast-1a
SPOTINSTANCEPRICE,0.4208,2023-01-01T00:04:08-0800,m6g.4xlarge,SUSE Linux,ap-northeast-1a
SPOTINSTANCEPRICE,0.2958,2023-01-01T00:04:08-0800,m6g.4xlarge,Linux/UNIX,ap-northeast-1a
SPOTINSTANCEPRICE,2.0848,2023-01-01T00:04:07-0800,r5n.24xlarge,Red Hat Enterprise Linux,ap-northeast-1d
SPOTINSTANCEPRICE,2.0798,2023-01-01T00:04:07-0800,r5n.24xlarge,SUSE Linux,ap-northeast-1d
SPOTINSTANCEPRICE,1.9548,2023-01-01T00:04:07-0800,r5n.24xlarge,Linux/UNIX,ap-northeast-1d
SPOTINSTANCEPRICE,0.6941,2023-01-01T00:04:01-0800,m5ad.8xlarge,Red Hat Enterprise Linux,ap-northeast-1a
SPOTINSTANCEPRICE,0.6891,2023-01-01T00:04:01-0800,m5ad.8xlarge,SUSE Linux,ap-northeast-1a
SPOTINSTANCEPRICE,0.5641,2023-01-01T00:04:01-0800,m5ad.8xlarge,Linux/UNIX,ap-northeast-1a
SPOTINSTANCEPRICE,1.9125,2023-01-01T00:03:59-0800,r5d.24xlarge,Red Hat Enterprise Linux,ap-northeast-1a
SPOTINSTANCEPRICE,1.9075,2023-01-01T00:03:59-0800,r5d.24xlarge,SUSE Linux,ap-northeast-1a
SPOTINSTANCEPRICE,1.7825,2023-01-01T00:03:59-0800,r5d.24xlarge,Linux/UNIX,ap-northeast-1a
SPOTINSTANCEPRICE,0.4296,2023-01-01T00:03:56-0800,m6gd.4xlarge,Red Hat Enterprise Linux,ap-northeast-1a
SPOTINSTANCEPRICE,0.4246,2023-01-01T00:03:56-0800,m6gd.4xlarge,SUSE Linux,ap-northeast-1a
SPOTINSTANCEPRICE,0.2996,2023-01-01T00:03:56-0800,m6gd.4xlarge,Linux/UNIX,ap-northeast-1a
SPOTINSTANCEPRICE,0.2874,2023-01-01T00:03:40-0800,c5d.2xlarge,Red Hat Enterprise Linux,ap-northeast-1d
SPOTINSTANCEPRICE,0.2574,2023-01-01T00:03:40-0800,c5d.2xlarge,SUSE Linux,ap-northeast-1d
SPOTINSTANCEPRICE,0.1574,2023-01-01T00:03:40-0800,c5d.2xlarge,Linux/UNIX,ap-northeast-1d
SPOTINSTANCEPRICE,0.2132,2023-01-01T00:03:19-0800,g4ad.xlarge,Red Hat Enterprise Linux,ap-northeast-1a
SPOTINSTANCEPRICE,0.2132,2023-01-01T00:03:19-0800,g4ad.xlarge,Red Hat Enterprise Linux,ap-northeast-1d
SPOTINSTANCEPRICE,0.5708,2023-01-01T00:03:19-0800,g4ad.xlarge,Red Hat Enterprise Linux,ap-northeast-1c
SPOTINSTANCEPRICE,0.2095,2023-01-01T00:03:19-0800,g4ad.xlarge,SUSE Linux,ap-northeast-1a
SPOTINSTANCEPRICE,0.2095,2023-01-01T00:03:19-0800,g4ad.xlarge,SUSE Linux,ap-northeast-1d
SPOTINSTANCEPRICE,0.5671,2023-01-01T00:03:19-0800,g4ad.xlarge,SUSE Linux,ap-northeast-1c
SPOTINSTANCEPRICE,0.1532,2023-01-01T00:03:19-0800,g4ad.xlarge,Linux/UNIX,ap-northeast-1a
SPOTINSTANCEPRICE,0.1532,2023-01-01T00:03:19-0800,g4ad.xlarge,Linux/UNIX,ap-northeast-1d
SPOTINSTANCEPRICE,0.5108,2023-01-01T00:03:19-0800,g4ad.xlarge,Linux/UNIX,ap-northeast-1c
SPOTINSTANCEPRICE,0.3496,2023-01-01T00:02:55-0800,i3.2xlarge,Red Hat Enterprise Linux,ap-northeast-1a
SPOTINSTANCEPRICE,0.3496,2023-01-01T00:02:55-0800,i3.2xlarge,Red Hat Enterprise Linux,ap-northeast-1d
SPOTINSTANCEPRICE,0.3496,2023-01-01T00:02:55-0800,i3.2xlarge,Red Hat Enterprise Linux,ap-northeast-1c
SPOTINSTANCEPRICE,0.3196,2023-01-01T00:02:55-0800,i3.2xlarge,SUSE Linux,ap-northeast-1a
SPOTINSTANCEPRICE,0.3196,2023-01-01T00:02:55-0800,i3.2xlarge,SUSE Linux,ap-northeast-1d
SPOTINSTANCEPRICE,0.3196,2023-01-01T00:02:55-0800,i3.2xlarge,SUSE Linux,ap-northeast-1c
SPOTINSTANCEPRICE,0.2196,2023-01-01T00:02:55-0800,i3.2xlarge,Linux/UNIX,ap-northeast-1a
SPOTINSTANCEPRICE,0.2196,2023-01-01T00:02:55-0800,i3.2xlarge,Linux/UNIX,ap-northeast-1d
SPOTINSTANCEPRICE,0.2196,2023-01-01T00:02:55-0800,i3.2xlarge,Linux/UNIX,ap-northeast-1c
SPOTINSTANCEPRICE,1.0082,2023-01-01T00:02:35-0800,r5dn.12xlarge,Red Hat Enterprise Linux,ap-northeast-1a
SPOTINSTANCEPRICE,1.0082,2023-01-01T00:02:35-0800,r5dn.12xlarge,Red Hat Enterprise Linux,ap-northeast-1d
SPOTINSTANCEPRICE,1.0082,2023-01-01T00:02:35-0800,r5dn.12xlarge,Red Hat Enterprise Linux,ap-northeast-1c
SPOTINSTANCEPRICE,1.0032,2023-01-01T00:02:35-0800,r5dn.12xlarge,SUSE Linux,ap-northeast-1a
SPOTINSTANCEPRICE,1.0032,2023-01-01T00:02:35-0800,r5dn.12xlarge,SUSE Linux,ap-northeast-1d
SPOTINSTANCEPRICE,1.0032,2023-01-01T00:02:35-0800,r5dn.12xlarge,SUSE Linux,ap-northeast-1c
SPOTINSTANCEPRICE,0.8782,2023-01-01T00:02:35-0800,r5dn.12xlarge,Linux/UNIX,ap-northeast-1a
SPOTINSTANCEPRICE,0.8782,2023-01-01T00:02:35-0800,r5dn.12xlarge,Linux/UNIX,ap-northeast-1d
SPOTINSTANCEPRICE,0.8782,2023-01-01T00:02:35-0800,r5dn.12xlarge,Linux/UNIX,ap-northeast-1c
SPOTINSTANCEPRICE,3.0862,2023-01-01T00:02:35-0800,r5dn.12xlarge,Windows,ap-northeast-1a
SPOTINSTANCEPRICE,3.0862,2023-01-01T00:02:35-0800,r5dn.12xlarge,Windows,ap-northeast-1d
SPOTINSTANCEPRICE,3.0862,2023-01-01T00:02:35-0800,r5dn.12xlarge,Windows,ap-northeast-1c
SPOTINSTANCEPRICE,1.2412,2023-01-01T00:02:32-0800,g5g.16xlarge,Red Hat Enterprise Linux,ap-northeast-1d
SPOTINSTANCEPRICE,1.2412,2023-01-01T00:02:32-0800,g5g.16xlarge,Red Hat Enterprise Linux,ap-northeast-1c
SPOTINSTANCEPRICE,1.2362,2023-01-01T00:02:32-0800,g5g.16xlarge,SUSE Linux,ap-northeast-1d
SPOTINSTANCEPRICE,1.2362,2023-01-01T00:02:32-0800,g5g.16xlarge,SUSE Linux,ap-northeast-1c
SPOTINSTANCEPRICE,1.1112,2023-01-01T00:02:32-0800,g5g.16xlarge,Linux/UNIX,ap-northeast-1d
SPOTINSTANCEPRICE,1.1112,2023-01-01T00:02:32-0800,g5g.16xlarge,Linux/UNIX,ap-northeast-1c
SPOTINSTANCEPRICE,0.5876,2023-01-01T00:02:26-0800,i3.2xlarge,Windows,ap-northeast-1a
SPOTINSTANCEPRICE,0.5876,2023-01-01T00:02:26-0800,i3.2xlarge,Windows,ap-northeast-1d
SPOTINSTANCEPRICE,0.5876,2023-01-01T00:02:26-0800,i3.2xlarge,Windows,ap-northeast-1c
SPOTINSTANCEPRICE,0.2956,2023-01-01T00:02:20-0800,r4.2xlarge,Red Hat Enterprise Linux,ap-northeast-1a
SPOTINSTANCEPRICE,0.77,2023-01-01T00:02:20-0800,r4.2xlarge,Red Hat Enterprise Linux,ap-northeast-1b
SPOTINSTANCEPRICE,0.301,2023-01-01T00:02:20-0800,r4.2xlarge,Red Hat Enterprise Linux,ap-northeast-1d
SPOTINSTANCEPRICE,0.2865,2023-01-01T00:02:20-0800,r4.2xlarge,Red Hat Enterprise Linux,ap-northeast-1c
SPOTINSTANCEPRICE,0.2656,2023-01-01T00:02:20-0800,r4.2xlarge,SUSE Linux,ap-northeast-1a
SPOTINSTANCEPRICE,0.74,2023-01-01T00:02:20-0800,r4.2xlarge,SUSE Linux,ap-northeast-1b
SPOTINSTANCEPRICE,0.271,2023-01-01T00:02:20-0800,r4.2xlarge,SUSE Linux,ap-northeast-1d
SPOTINSTANCEPRICE,0.2565,2023-01-01T00:02:20-0800,r4.2xlarge,SUSE Linux,ap-northeast-1c
SPOTINSTANCEPRICE,0.1656,2023-01-01T00:02:20-0800,r4.2xlarge,Linux/UNIX,ap-northeast-1a
SPOTINSTANCEPRICE,0.64,2023-01-01T00:02:20-0800,r4.2xlarge,Linux/UNIX,ap-northeast-1b
SPOTINSTANCEPRICE,0.171,2023-01-01T00:02:20-0800,r4.2xlarge,Linux/UNIX,ap-northeast-1d
SPOTINSTANCEPRICE,0.1565,2023-01-01T00:02:20-0800,r4.2xlarge,Linux/UNIX,ap-northeast-1c
SPOTINSTANCEPRICE,0.5074,2023-01-01T00:02:19-0800,r4.2xlarge,Windows,ap-northeast-1a
SPOTINSTANCEPRICE,1.008,2023-01-01T00:02:19-0800,r4.2xlarge,Windows,ap-northeast-1b
SPOTINSTANCEPRICE,0.5074,2023-01-01T00:02:19-0800,r4.2xlarge,Windows,ap-northeast-1d
SPOTINSTANCEPRICE,0.5074,2023-01-01T00:02:19-0800,r4.2xlarge,Windows,ap-northeast-1c
SPOTINSTANCEPRICE,6.1725,2023-01-01T00:02:18-0800,r5ad.24xlarge,Windows,ap-northeast-1a
SPOTINSTANCEPRICE,6.1725,2023-01-01T00:02:18-0800,r5ad.24xlarge,Windows,ap-northeast-1d
SPOTINSTANCEPRICE,1.8865,2023-01-01T00:02:18-0800,r5ad.24xlarge,Red Hat Enterprise Linux,ap-northeast-1a
SPOTINSTANCEPRICE,1.8865,2023-01-01T00:02:18-0800,r5ad.24xlarge,Red Hat Enterprise Linux,ap-northeast-1d
SPOTINSTANCEPRICE,1.8815,2023-01-01T00:02:18-0800,r5ad.24xlarge,SUSE Linux,ap-northeast-1a
SPOTINSTANCEPRICE,1.8815,2023-01-01T00:02:18-0800,r5ad.24xlarge,SUSE Linux,ap-northeast-1d
SPOTINSTANCEPRICE,1.7565,2023-01-01T00:02:18-0800,r5ad.24xlarge,Linux/UNIX,ap-northeast-1a
SPOTINSTANCEPRICE,1.7565,2023-01-01T00:02:18-0800,r5ad.24xlarge,Linux/UNIX,ap-northeast-1d
SPOTINSTANCEPRICE,0.6889,2023-01-01T00:02:01-0800,c6g.8xlarge,Red Hat Enterprise Linux,ap-northeast-1a
SPOTINSTANCEPRICE,0.6889,2023-01-01T00:02:01-0800,c6g.8xlarge,Red Hat Enterprise Linux,ap-northeast-1d
SPOTINSTANCEPRICE,0.6889,2023-01-01T00:02:01-0800,c6g.8xlarge,Red Hat Enterprise Linux,ap-northeast-1c
SPOTINSTANCEPRICE,0.6839,2023-01-01T00:02:01-0800,c6g.8xlarge,SUSE Linux,ap-northeast-1a
SPOTINSTANCEPRICE,0.6839,2023-01-01T00:02:01-0800,c6g.8xlarge,SUSE Linux,ap-northeast-1d
SPOTINSTANCEPRICE,0.6839,2023-01-01T00:02:01-0800,c6g.8xlarge,SUSE Linux,ap-northeast-1c
SPOTINSTANCEPRICE,0.5589,2023-01-01T00:02:01-0800,c6g.8xlarge,Linux/UNIX,ap-northeast-1a
SPOTINSTANCEPRICE,0.5589,2023-01-01T00:02:01-0800,c6g.8xlarge,Linux/UNIX,ap-northeast-1d
SPOTINSTANCEPRICE,0.5589,2023-01-01T00:02:01-0800,c6g.8xlarge,Linux/UNIX,ap-northeast-1c
SPOTINSTANCEPRICE,0.9683,2023-01-01T00:01:51-0800,c6g.12xlarge,Red Hat Enterprise Linux,ap-northeast-1a
SPOTINSTANCEPRICE,0.9683,2023-01-01T00:01:51-0800,c6g.12xlarge,Red Hat Enterprise Linux,ap-northeast-1d
SPOTINSTANCEPRICE,0.9683,2023-01-01T00:01:51-0800,c6g.12xlarge,Red Hat Enterprise Linux,ap-northeast-1c
SPOTINSTANCEPRICE,0.9633,2023-01-01T00:01:51-0800,c6g.12xlarge,SUSE Linux,ap-northeast-1a
SPOTINSTANCEPRICE,0.9633,2023-01-01T00:01:51-0800,c6g.12xlarge,SUSE Linux,ap-northeast-1d
SPOTINSTANCEPRICE,0.9633,2023-01-01T00:01:51-0800,c6g.12xlarge,SUSE Linux,ap-northeast-1c
SPOTINSTANCEPRICE,0.8383,2023-01-01T00:01:51-0800,c6g.12xlarge,Linux/UNIX,ap-northeast-1a
SPOTINSTANCEPRICE,0.8383,2023-01-01T00:01:51-0800,c6g.12xlarge,Linux/UNIX,ap-northeast-1d
SPOTINSTANCEPRICE,0.8383,2023-01-01T00:01:51-0800,c6g.12xlarge,Linux/UNIX,ap-northeast-1c
SPOTINSTANCEPRICE,1.3595,2023-01-01T00:01:27-0800,r6id.16xlarge,Red Hat Enterprise Linux,ap-northeast-1a
SPOTINSTANCEPRICE,1.3595,2023-01-01T00:01:27-0800,r6id.16xlarge,Red Hat Enterprise Linux,ap-northeast-1d
SPOTINSTANCEPRICE,1.3545,2023-01-01T00:01:27-0800,r6id.16xlarge,SUSE Linux,ap-northeast-1a
SPOTINSTANCEPRICE,1.3545,2023-01-01T00:01:27-0800,r6id.16xlarge,SUSE Linux,ap-northeast-1d
SPOTINSTANCEPRICE,1.2295,2023-01-01T00:01:27-0800,r6id.16xlarge,Linux/UNIX,ap-northeast-1a
SPOTINSTANCEPRICE,1.2295,2023-01-01T00:01:27-0800,r6id.16xlarge,Linux/UNIX,ap-northeast-1d
SPOTINSTANCEPRICE,2.174,2022-12-31T23:59:26-0800,g4ad.8xlarge,Windows,ap-northeast-1a
SPOTINSTANCEPRICE,2.174,2022-12-31T23:59:26-0800,g4ad.8xlarge,Windows,ap-northeast-1d
SPOTINSTANCEPRICE,0.832,2022-12-31T23:59:26-0800,g4ad.8xlarge,Red Hat Enterprise Linux,ap-northeast-1a
SPOTINSTANCEPRICE,0.832,2022-12-31T23:59:26-0800,g4ad.8xlarge,Red Hat Enterprise Linux,ap-northeast-1d
SPOTINSTANCEPRICE,0.827,2022-12-31T23:59:26-0800,g4ad.8xlarge,SUSE Linux,ap-northeast-1a
SPOTINSTANCEPRICE,0.827,2022-12-31T23:59:26-0800,g4ad.8xlarge,SUSE Linux,ap-northeast-1d
SPOTINSTANCEPRICE,0.702,2022-12-31T23:59:26-0800,g4ad.8xlarge,Linux/UNIX,ap-northeast-1a
SPOTINSTANCEPRICE,0.702,2022-12-31T23:59:26-0800,g4ad.8xlarge,Linux/UNIX,ap-northeast-1d
SPOTINSTANCEPRICE,0.1352,2022-12-31T23:55:41-0800,r5ad.xlarge,Red Hat Enterprise Linux,ap-northeast-1a
SPOTINSTANCEPRICE,0.1312,2022-12-31T23:55:41-0800,r5ad.xlarge,SUSE Linux,ap-northeast-1a
SPOTINSTANCEPRICE,0.0752,2022-12-31T23:55:41-0800,r5ad.xlarge,Linux/UNIX,ap-northeast-1a
SPOTINSTANCEPRICE,0.301,2022-12-31T23:55:35-0800,r4.2xlarge,Red Hat Enterprise Linux,ap-northeast-1d
SPOTINSTANCEPRICE,0.271,2022-12-31T23:55:35-0800,r4.2xlarge,SUSE Linux,ap-northeast-1d
SPOTINSTANCEPRICE,0.171,2022-12-31T23:55:35-0800,r4.2xlarge,Linux/UNIX,ap-northeast-1d
SPOTINSTANCEPRICE,4.1119,2022-12-31T23:55:29-0800,m5dn.16xlarge,Red Hat Enterprise Linux,ap-northeast-1d
SPOTINSTANCEPRICE,4.1069,2022-12-31T23:55:29-0800,m5dn.16xlarge,SUSE Linux,ap-northeast-1d
SPOTINSTANCEPRICE,3.9819,2022-12-31T23:55:29-0800,m5dn.16xlarge,Linux/UNIX,ap-northeast-1d
SPOTINSTANCEPRICE,0.9715,2022-12-31T23:55:27-0800,m5d.12xlarge,Red Hat Enterprise Linux,ap-northeast-1a
SPOTINSTANCEPRICE,0.9415,2022-12-31T23:55:27-0800,m5d.12xlarge,SUSE Linux,ap-northeast-1a
SPOTINSTANCEPRICE,0.8415,2022-12-31T23:55:27-0800,m5d.12xlarge,Linux/UNIX,ap-northeast-1a
SPOTINSTANCEPRICE,3.7364,2022-12-31T23:55:22-0800,c6a.metal,Red Hat Enterprise Linux,ap-northeast-1d
SPOTINSTANCEPRICE,3.7314,2022-12-31T23:55:22-0800,c6a.metal,SUSE Linux,ap-northeast-1d
SPOTINSTANCEPRICE,3.6064,2022-12-31T23:55:22-0800,c6a.metal,Linux/UNIX,ap-northeast-1d
SPOTINSTANCEPRICE,0.1302,2022-12-31T23:55:17-0800,c5n.xlarge,Red Hat Enterprise Linux,ap-northeast-1d
SPOTINSTANCEPRICE,0.1262,2022-12-31T23:55:17-0800,c5n.xlarge,SUSE Linux,ap-northeast-1d
SPOTINSTANCEPRICE,0.0702,2022-12-31T23:55:17-0800,c5n.xlarge,Linux/UNIX,ap-northeast-1d
SPOTINSTANCEPRICE,1.8905,2022-12-31T23:49:06-0800,m6i.24xlarge,Red Hat Enterprise Linux,ap-northeast-1a
SPOTINSTANCEPRICE,1.8905,2022-12-31T23:49:06-0800,m6i.24xlarge,Red Hat Enterprise Linux,ap-northeast-1c
