instance_type,vcpu,memory_gb,on_demand_price,avg_spot_price
c5.large,2,4,0.085,0.08565
c5.xlarge,4,8,0.17,0.13267179487179487
c5.2xlarge,8,16,0.34,0.27716
c5.4xlarge,16,32,0.68,0.4633545454545454
c5.8xlarge,36,72,1.36,
c5a.large,2,4,0.077,0.08651875
c5a.xlarge,4,8,0.154,0.131036
c5a.2xlarge,8,16,0.308,0.2629107142857143
c5a.4xlarge,16,32,0.616,0.4405081081081081
c5a.8xlarge,32,64,1.232,0.9640500000000001
m5.large,2,8,0.096,0.0859962962962963
m5.xlarge,4,16,0.192,0.1453
m5.2xlarge,8,32,0.384,0.2789055555555555
m5.4xlarge,16,64,0.768,0.5044071428571428
m5.8xlarge,32,128,1.536,0.8880711111111111
r5.large,2,16,0.126,0.08877435897435898
r5.xlarge,4,32,0.252,0.1451851851851852
r5.2xlarge,8,64,0.504,0.30017058823529413
r5.4xlarge,16,128,1.008,0.5363764705882353
r5.8xlarge,32,256,2.016,0.9246909090909091
r5a.large,2,16,0.113,0.08695333333333334
r5a.xlarge,4,32,0.226,0.15141851851851854
r5a.2xlarge,8,64,0.452,0.31990999999999997
r5a.4xlarge,16,128,0.904,0.47198125
r5a.8xlarge,32,256,1.808,0.8754058823529411
